epoch,accuracy,loss,val_accuracy,val_loss
0,0.777999997138977,0.6255735158920288,0.7987499833106995,0.42991897463798523
1,0.859499990940094,0.3813619911670685,0.8849999904632568,0.2859134376049042
2,0.8794999718666077,0.3220900595188141,0.8824999928474426,0.3021494746208191
3,0.906499981880188,0.2656915485858917,0.8862500190734863,0.35104885697364807
4,0.9075000286102295,0.2446204572916031,0.8412500023841858,0.48824015259742737
5,0.9254999756813049,0.21244467794895172,0.8887500166893005,0.39050090312957764
6,0.9275000095367432,0.18670767545700073,0.9100000262260437,0.34948045015335083
7,0.9365000128746033,0.1764734834432602,0.8787500262260437,0.46965914964675903
8,0.9440000057220459,0.15436846017837524,0.9012500047683716,0.37009185552597046
9,0.9480000138282776,0.15753580629825592,0.8987500071525574,0.40966811776161194
